DEBUG:django.db.backends: (0.001) SHOW TABLES; args=None (2015-02-07 22:40:23; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE `django_session`.`session_key` = 'fh4pe07dh34e6zszq48u7nr8f0ggg0mm' LIMIT 21; args=('fh4pe07dh34e6zszq48u7nr8f0ggg0mm',) (2015-02-07 22:42:19; utils.py:91)
DEBUG:django.db.backends: (0.000) DELETE FROM `django_session` WHERE `django_session`.`session_key` IN ('fh4pe07dh34e6zszq48u7nr8f0ggg0mm'); args=('fh4pe07dh34e6zszq48u7nr8f0ggg0mm',) (2015-02-07 22:42:19; utils.py:91)
DEBUG:django.db.backends: (0.001) UPDATE `auth_user` SET `last_login` = '2015-02-07 19:42:19.159869' WHERE `auth_user`.`id` = 1; args=(b'2015-02-07 19:42:19.159869', 1) (2015-02-07 22:42:19; utils.py:91)
DEBUG:django.db.backends: (0.001) UPDATE `django_session` SET `session_data` = 'YWJjMjUwYzZjNzdmNWFmMDY1ZTRmMWRhMTcxNjkzZTBhOTUwMTg4Mzp7Il9hdXRoX3VzZXJfYmFja2VuZCI6ImRqYW5nby5jb250cmliLmF1dGguYmFja2VuZHMuTW9kZWxCYWNrZW5kIiwiX2F1dGhfdXNlcl9oYXNoIjoiNmMxOTUyZTI4NjA5NGE1MWE1MTA0ZDBlY2Q5ZTQ4ZjI3ZjIyNWQ1ZCIsIl9hdXRoX3VzZXJfaWQiOjF9', `expire_date` = '2015-02-21 19:42:19.193657' WHERE `django_session`.`session_key` = 'e7u0evi8qbpwzuy58h54vptebdlmode5'; args=('YWJjMjUwYzZjNzdmNWFmMDY1ZTRmMWRhMTcxNjkzZTBhOTUwMTg4Mzp7Il9hdXRoX3VzZXJfYmFja2VuZCI6ImRqYW5nby5jb250cmliLmF1dGguYmFja2VuZHMuTW9kZWxCYWNrZW5kIiwiX2F1dGhfdXNlcl9oYXNoIjoiNmMxOTUyZTI4NjA5NGE1MWE1MTA0ZDBlY2Q5ZTQ4ZjI3ZjIyNWQ1ZCIsIl9hdXRoX3VzZXJfaWQiOjF9', b'2015-02-21 19:42:19.193657', 'e7u0evi8qbpwzuy58h54vptebdlmode5') (2015-02-07 22:42:19; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `profiles`.`id`, `profiles`.`userid`, `profiles`.`fname`, `profiles`.`lname`, `profiles`.`bdate`, `profiles`.`biography`, `profiles`.`contacts` FROM `profiles` WHERE `profiles`.`userid` = 1 LIMIT 1; args=(1,) (2015-02-07 22:42:19; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2015-02-07 19:42:19.233473' AND `django_session`.`session_key` = 'e7u0evi8qbpwzuy58h54vptebdlmode5') LIMIT 21; args=(b'2015-02-07 19:42:19.233473', 'e7u0evi8qbpwzuy58h54vptebdlmode5') (2015-02-07 22:42:19; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,) (2015-02-07 22:42:19; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2015-02-07 19:42:26.739267' AND `django_session`.`session_key` = 'e7u0evi8qbpwzuy58h54vptebdlmode5') LIMIT 21; args=(b'2015-02-07 19:42:26.739267', 'e7u0evi8qbpwzuy58h54vptebdlmode5') (2015-02-07 22:42:26; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,) (2015-02-07 22:42:26; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `profiles`.`id`, `profiles`.`userid`, `profiles`.`fname`, `profiles`.`lname`, `profiles`.`bdate`, `profiles`.`biography`, `profiles`.`contacts` FROM `profiles` WHERE `profiles`.`userid` = 1 LIMIT 1; args=(1,) (2015-02-07 22:42:26; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2015-02-07 19:42:28.451678' AND `django_session`.`session_key` = 'e7u0evi8qbpwzuy58h54vptebdlmode5') LIMIT 21; args=(b'2015-02-07 19:42:28.451678', 'e7u0evi8qbpwzuy58h54vptebdlmode5') (2015-02-07 22:42:28; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,) (2015-02-07 22:42:28; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `profiles`.`id`, `profiles`.`userid`, `profiles`.`fname`, `profiles`.`lname`, `profiles`.`bdate`, `profiles`.`biography`, `profiles`.`contacts` FROM `profiles` WHERE `profiles`.`userid` = 1 LIMIT 1; args=(1,) (2015-02-07 22:42:28; utils.py:91)
DEBUG:django.db.backends: (0.001) UPDATE `profiles` SET `userid` = 1, `fname` = 'Михаил', `lname` = 'Никифоров', `bdate` = 438382800, `biography` = '<p>В CSS-сетке фреймворка Foundation имеется возможность вкладывать строки внутрь колонок. Такой прием называется “вложенность” и с ним нужно быть достаточно осторожным на практике, так как можно легко запутаться при написании кода: </p>', `contacts` = '<p>email: nikiforov22@pochta.ru</p>\r\n\r\n<p>skype: nikiforov_mihail_</p>\r\n' WHERE `profiles`.`id` = 1; args=(1, 'Михаил', 'Никифоров', 438382800, '<p>В CSS-сетке фреймворка Foundation имеется возможность вкладывать строки внутрь колонок. Такой прием называется “вложенность” и с ним нужно быть достаточно осторожным на практике, так как можно легко запутаться при написании кода: </p>', '<p>email: nikiforov22@pochta.ru</p>\r\n\r\n<p>skype: nikiforov_mihail_</p>\r\n', 1) (2015-02-07 22:42:28; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `profiles`.`id`, `profiles`.`userid`, `profiles`.`fname`, `profiles`.`lname`, `profiles`.`bdate`, `profiles`.`biography`, `profiles`.`contacts` FROM `profiles` WHERE `profiles`.`userid` = 1 LIMIT 1; args=(1,) (2015-02-07 22:42:28; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `profiles`.`id`, `profiles`.`userid`, `profiles`.`fname`, `profiles`.`lname`, `profiles`.`bdate`, `profiles`.`biography`, `profiles`.`contacts` FROM `profiles` WHERE `profiles`.`userid` = 1 LIMIT 1; args=(1,) (2015-02-07 22:42:32; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2015-02-07 19:42:32.614312' AND `django_session`.`session_key` = 'e7u0evi8qbpwzuy58h54vptebdlmode5') LIMIT 21; args=(b'2015-02-07 19:42:32.614312', 'e7u0evi8qbpwzuy58h54vptebdlmode5') (2015-02-07 22:42:32; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,) (2015-02-07 22:42:32; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2015-02-07 19:48:59.897963' AND `django_session`.`session_key` = 'e7u0evi8qbpwzuy58h54vptebdlmode5') LIMIT 21; args=(b'2015-02-07 19:48:59.897963', 'e7u0evi8qbpwzuy58h54vptebdlmode5') (2015-02-07 22:48:59; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,) (2015-02-07 22:48:59; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `profiles`.`id`, `profiles`.`userid`, `profiles`.`fname`, `profiles`.`lname`, `profiles`.`bdate`, `profiles`.`biography`, `profiles`.`contacts` FROM `profiles` WHERE `profiles`.`userid` = 1 LIMIT 1; args=(1,) (2015-02-07 22:48:59; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `profiles`.`id`, `profiles`.`userid`, `profiles`.`fname`, `profiles`.`lname`, `profiles`.`bdate`, `profiles`.`biography`, `profiles`.`contacts` FROM `profiles` WHERE `profiles`.`userid` = 1 LIMIT 1; args=(1,) (2015-02-07 22:49:02; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2015-02-07 19:49:02.470674' AND `django_session`.`session_key` = 'e7u0evi8qbpwzuy58h54vptebdlmode5') LIMIT 21; args=(b'2015-02-07 19:49:02.470674', 'e7u0evi8qbpwzuy58h54vptebdlmode5') (2015-02-07 22:49:02; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,) (2015-02-07 22:49:02; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `profiles`.`id`, `profiles`.`userid`, `profiles`.`fname`, `profiles`.`lname`, `profiles`.`bdate`, `profiles`.`biography`, `profiles`.`contacts` FROM `profiles` WHERE `profiles`.`userid` = 1 LIMIT 1; args=(1,) (2015-02-07 23:13:13; utils.py:91)
DEBUG:django.db.backends: (0.002) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2015-02-07 20:13:13.540017' AND `django_session`.`session_key` = 'e7u0evi8qbpwzuy58h54vptebdlmode5') LIMIT 21; args=(b'2015-02-07 20:13:13.540017', 'e7u0evi8qbpwzuy58h54vptebdlmode5') (2015-02-07 23:13:13; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,) (2015-02-07 23:13:13; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `profiles`.`id`, `profiles`.`userid`, `profiles`.`fname`, `profiles`.`lname`, `profiles`.`bdate`, `profiles`.`biography`, `profiles`.`contacts` FROM `profiles` WHERE `profiles`.`userid` = 1 LIMIT 1; args=(1,) (2015-02-07 23:47:23; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2015-02-07 20:47:23.765887' AND `django_session`.`session_key` = 'e7u0evi8qbpwzuy58h54vptebdlmode5') LIMIT 21; args=(b'2015-02-07 20:47:23.765887', 'e7u0evi8qbpwzuy58h54vptebdlmode5') (2015-02-07 23:47:23; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,) (2015-02-07 23:47:23; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2015-02-07 20:56:37.880983' AND `django_session`.`session_key` = 'e7u0evi8qbpwzuy58h54vptebdlmode5') LIMIT 21; args=(b'2015-02-07 20:56:37.880983', 'e7u0evi8qbpwzuy58h54vptebdlmode5') (2015-02-07 23:56:37; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,) (2015-02-07 23:56:37; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE `django_session`.`session_key` = 'e7u0evi8qbpwzuy58h54vptebdlmode5' LIMIT 21; args=('e7u0evi8qbpwzuy58h54vptebdlmode5',) (2015-02-07 23:56:37; utils.py:91)
DEBUG:django.db.backends: (0.001) DELETE FROM `django_session` WHERE `django_session`.`session_key` IN ('e7u0evi8qbpwzuy58h54vptebdlmode5'); args=('e7u0evi8qbpwzuy58h54vptebdlmode5',) (2015-02-07 23:56:37; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = '5lgomuzhhfoaaa3uh1x04hbm0wpyzrek' LIMIT 1; args=('5lgomuzhhfoaaa3uh1x04hbm0wpyzrek',) (2015-02-07 23:56:37; utils.py:91)
DEBUG:django.db.backends: (0.001) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('5lgomuzhhfoaaa3uh1x04hbm0wpyzrek', 'N2IxZWZkN2MzYjI5MDk4NGU3M2U1NDhkNjlhZGEyZDVhOTE0NjBlNjp7fQ==', '2015-02-21 20:56:37.943730'); args=('5lgomuzhhfoaaa3uh1x04hbm0wpyzrek', 'N2IxZWZkN2MzYjI5MDk4NGU3M2U1NDhkNjlhZGEyZDVhOTE0NjBlNjp7fQ==', b'2015-02-21 20:56:37.943730') (2015-02-07 23:56:37; utils.py:91)
DEBUG:django.db.backends: (0.001) UPDATE `django_session` SET `session_data` = 'N2IxZWZkN2MzYjI5MDk4NGU3M2U1NDhkNjlhZGEyZDVhOTE0NjBlNjp7fQ==', `expire_date` = '2015-02-21 20:56:37.974809' WHERE `django_session`.`session_key` = '5lgomuzhhfoaaa3uh1x04hbm0wpyzrek'; args=('N2IxZWZkN2MzYjI5MDk4NGU3M2U1NDhkNjlhZGEyZDVhOTE0NjBlNjp7fQ==', b'2015-02-21 20:56:37.974809', '5lgomuzhhfoaaa3uh1x04hbm0wpyzrek') (2015-02-07 23:56:37; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `profiles`.`id`, `profiles`.`userid`, `profiles`.`fname`, `profiles`.`lname`, `profiles`.`bdate`, `profiles`.`biography`, `profiles`.`contacts` FROM `profiles` WHERE `profiles`.`userid` = 1 LIMIT 1; args=(1,) (2015-02-07 23:56:38; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2015-02-07 20:56:38.020519' AND `django_session`.`session_key` = '5lgomuzhhfoaaa3uh1x04hbm0wpyzrek') LIMIT 21; args=(b'2015-02-07 20:56:38.020519', '5lgomuzhhfoaaa3uh1x04hbm0wpyzrek') (2015-02-07 23:56:38; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`username` = 'mikhail' LIMIT 21; args=('mikhail',) (2015-02-07 23:56:40; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2015-02-07 20:56:40.135432' AND `django_session`.`session_key` = '5lgomuzhhfoaaa3uh1x04hbm0wpyzrek') LIMIT 21; args=(b'2015-02-07 20:56:40.135432', '5lgomuzhhfoaaa3uh1x04hbm0wpyzrek') (2015-02-07 23:56:40; utils.py:91)
DEBUG:django.db.backends: (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = '4o8acbb8srs8m4dar0dw0pfdnfkv4fmd' LIMIT 1; args=('4o8acbb8srs8m4dar0dw0pfdnfkv4fmd',) (2015-02-07 23:56:40; utils.py:91)
DEBUG:django.db.backends: (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('4o8acbb8srs8m4dar0dw0pfdnfkv4fmd', 'N2IxZWZkN2MzYjI5MDk4NGU3M2U1NDhkNjlhZGEyZDVhOTE0NjBlNjp7fQ==', '2015-02-21 20:56:40.140847'); args=('4o8acbb8srs8m4dar0dw0pfdnfkv4fmd', 'N2IxZWZkN2MzYjI5MDk4NGU3M2U1NDhkNjlhZGEyZDVhOTE0NjBlNjp7fQ==', b'2015-02-21 20:56:40.140847') (2015-02-07 23:56:40; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE `django_session`.`session_key` = '5lgomuzhhfoaaa3uh1x04hbm0wpyzrek' LIMIT 21; args=('5lgomuzhhfoaaa3uh1x04hbm0wpyzrek',) (2015-02-07 23:56:40; utils.py:91)
DEBUG:django.db.backends: (0.001) DELETE FROM `django_session` WHERE `django_session`.`session_key` IN ('5lgomuzhhfoaaa3uh1x04hbm0wpyzrek'); args=('5lgomuzhhfoaaa3uh1x04hbm0wpyzrek',) (2015-02-07 23:56:40; utils.py:91)
DEBUG:django.db.backends: (0.001) UPDATE `auth_user` SET `last_login` = '2015-02-07 20:56:40.223526' WHERE `auth_user`.`id` = 1; args=(b'2015-02-07 20:56:40.223526', 1) (2015-02-07 23:56:40; utils.py:91)
DEBUG:django.db.backends: (0.001) UPDATE `django_session` SET `session_data` = 'YWJjMjUwYzZjNzdmNWFmMDY1ZTRmMWRhMTcxNjkzZTBhOTUwMTg4Mzp7Il9hdXRoX3VzZXJfYmFja2VuZCI6ImRqYW5nby5jb250cmliLmF1dGguYmFja2VuZHMuTW9kZWxCYWNrZW5kIiwiX2F1dGhfdXNlcl9oYXNoIjoiNmMxOTUyZTI4NjA5NGE1MWE1MTA0ZDBlY2Q5ZTQ4ZjI3ZjIyNWQ1ZCIsIl9hdXRoX3VzZXJfaWQiOjF9', `expire_date` = '2015-02-21 20:56:40.257326' WHERE `django_session`.`session_key` = '4o8acbb8srs8m4dar0dw0pfdnfkv4fmd'; args=('YWJjMjUwYzZjNzdmNWFmMDY1ZTRmMWRhMTcxNjkzZTBhOTUwMTg4Mzp7Il9hdXRoX3VzZXJfYmFja2VuZCI6ImRqYW5nby5jb250cmliLmF1dGguYmFja2VuZHMuTW9kZWxCYWNrZW5kIiwiX2F1dGhfdXNlcl9oYXNoIjoiNmMxOTUyZTI4NjA5NGE1MWE1MTA0ZDBlY2Q5ZTQ4ZjI3ZjIyNWQ1ZCIsIl9hdXRoX3VzZXJfaWQiOjF9', b'2015-02-21 20:56:40.257326', '4o8acbb8srs8m4dar0dw0pfdnfkv4fmd') (2015-02-07 23:56:40; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `profiles`.`id`, `profiles`.`userid`, `profiles`.`fname`, `profiles`.`lname`, `profiles`.`bdate`, `profiles`.`biography`, `profiles`.`contacts` FROM `profiles` WHERE `profiles`.`userid` = 1 LIMIT 1; args=(1,) (2015-02-07 23:56:40; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2015-02-07 20:56:40.300143' AND `django_session`.`session_key` = '4o8acbb8srs8m4dar0dw0pfdnfkv4fmd') LIMIT 21; args=(b'2015-02-07 20:56:40.300143', '4o8acbb8srs8m4dar0dw0pfdnfkv4fmd') (2015-02-07 23:56:40; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,) (2015-02-07 23:56:40; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2015-02-07 20:56:44.472283' AND `django_session`.`session_key` = '4o8acbb8srs8m4dar0dw0pfdnfkv4fmd') LIMIT 21; args=(b'2015-02-07 20:56:44.472283', '4o8acbb8srs8m4dar0dw0pfdnfkv4fmd') (2015-02-07 23:56:44; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,) (2015-02-07 23:56:44; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE `django_session`.`session_key` = '4o8acbb8srs8m4dar0dw0pfdnfkv4fmd' LIMIT 21; args=('4o8acbb8srs8m4dar0dw0pfdnfkv4fmd',) (2015-02-07 23:56:44; utils.py:91)
DEBUG:django.db.backends: (0.000) DELETE FROM `django_session` WHERE `django_session`.`session_key` IN ('4o8acbb8srs8m4dar0dw0pfdnfkv4fmd'); args=('4o8acbb8srs8m4dar0dw0pfdnfkv4fmd',) (2015-02-07 23:56:44; utils.py:91)
